,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
2192,Raza,0.0,0.0,2.27,0.09
2193,wellmoza,0.0,0.0,2.27,0.09
2194,Roshankrk,0.0,0.0,2.27,0.09
2195,ß┤ìß┤Çß┤¢ß┤£ß┤ç╠é,0.0,0.0,2.27,0.09
2196,SBSZacWorId999,0.0,0.0,2.27,0.09
2197,ß₧╡ΓÖí,0.0,0.0,2.27,0.09
2198,Rß┤Åß┤äß┤ï╩Å,0.0,0.0,2.27,0.09
2199,OyinOla,0.0,0.0,2.27,0.09
2200,1nvictus,0.0,0.0,2.27,0.09
2201,Floridina,0.0,0.0,2.27,0.09
2202,zyris,0.0,0.0,2.27,0.09
2203,yogendrabadar3551,0.0,0.0,2.27,0.09
2204,PYTH,0.0,0.0,2.27,0.09
2205,PankajMandaokar,0.0,0.0,2.27,0.09
2206,zyande,0.0,0.0,2.27,0.09
2207,yolokalisme,0.0,0.0,2.27,0.09
2208,Ruliana,0.0,0.0,2.27,0.09
2209,Rukun,0.0,0.0,2.27,0.09
2210,Paquito,0.0,0.0,2.27,0.09
2211,zumiez,0.0,0.0,2.27,0.09
2212,zullhsb,0.0,0.0,2.27,0.09
2213,Rubel,0.0,0.0,2.27,0.09
2214,Pebriansyah,0.0,0.0,2.27,0.09
2215,Pengumina,0.0,0.0,2.27,0.09
2216,zonk4400,0.0,0.0,2.27,0.09
2217,zone,0.0,0.0,2.27,0.09
2218,Flights.,0.0,0.0,2.27,0.09
2219,Phoenix D. Rebirth,0.0,0.0,2.27,0.09
2220,Phung,0.0,0.0,2.27,0.09
2221,Phxenix,0.0,0.0,2.27,0.09
2222,ß┤ÿß┤£╩Çß┤Ç Ω£▒ß┤ç╔┤Ω£▒╔¬ ╩£4x,0.0,0.0,2.27,0.09
2223,SChrist,0.0,0.0,2.27,0.09
2224,Đình Hậu l APE,0.0,0.0,2.27,0.09
2225,Sadur999,0.0,0.0,2.27,0.09
2226,Salauddin,0.0,0.0,2.27,0.09
2227,Sajada1234,0.0,0.0,2.27,0.09
2228,NekoCoi,0.0,0.0,2.27,0.09
2229,Nemesis|ABHI,0.0,0.0,2.27,0.09
2230,Nerf,0.0,0.0,2.27,0.09
2231,Game Master,0.0,0.0,2.27,0.09
2232,NgakanXCUAN,0.0,0.0,2.27,0.09
2233,Γê░ Sushi' µåñ ≡ƒûñ,0.0,0.0,2.27,0.09
2234,Saidur,0.0,0.0,2.27,0.09
2235,Sahme,0.0,0.0,2.27,0.09
2236,SagarGG,0.0,0.0,2.27,0.09
2237,Nila12,0.0,0.0,2.27,0.09
2238,Nirob,0.0,0.0,2.27,0.09
2239,SENX,0.0,0.0,2.27,0.09
2240,Sabina,0.0,0.0,2.27,0.09
2241,NjmD,0.0,0.0,2.27,0.09
2242,SXY,0.0,0.0,2.27,0.09
2243,SUNNY608,0.0,0.0,2.27,0.09
2244,0xdante,0.0,0.0,2.27,0.09
2245,Englishexe,0.0,0.0,2.27,0.09
2246,SOFASWORD,0.0,0.0,2.27,0.09
2247,SIMON SWOLE,0.0,0.0,2.27,0.09
2248,SHYJUMON,0.0,0.0,2.27,0.09
2249,SHANI43721,0.0,0.0,2.27,0.09
2250,123sandi,0.0,0.0,2.27,0.09
2251,Officialboy,0.0,0.0,2.27,0.09
2252,zhetshetz,0.0,0.0,2.27,0.09
2253,Plea,0.0,0.0,2.27,0.09
2254,Nasoel104,0.0,0.0,2.27,0.09
2255,Romanovv,0.0,0.0,2.27,0.09
2256,yukiyu,0.0,0.0,2.27,0.09
2257,zainy,0.0,0.0,2.27,0.09
2258,zaini,0.0,0.0,2.27,0.09
2259,RKY,0.0,0.0,2.27,0.09
2260,RickyZ,0.0,0.0,2.27,0.09
2261,EverolStien,0.0,0.0,2.27,0.09
2262,RKurowski,0.0,0.0,2.27,0.09
2263,ROXAL,0.0,0.0,2.27,0.09
2264,Rahul420,0.0,0.0,2.27,0.09
2265,yu─▒,0.0,0.0,2.27,0.09
2266,Rajkumarmyname,0.0,0.0,2.27,0.09
2267,Raju [SHARKY.FI],0.0,0.0,2.27,0.09
2268,Rakib56,0.0,0.0,2.27,0.09
2269,Rakzy,0.0,0.0,2.27,0.09
2270,Exan17,0.0,0.0,2.27,0.09
2271,Ramz,0.0,0.0,2.27,0.09
2272,Revanuary17,0.0,0.0,2.27,0.09
2273,yuna33,0.0,0.0,2.27,0.09
2274,RereAnita,0.0,0.0,2.27,0.09
2275,RendyNS,0.0,0.0,2.27,0.09
2276,Rangga,0.0,0.0,2.27,0.09
2277,Ranggabolier,0.0,0.0,2.27,0.09
2278,Rasmus,0.0,0.0,2.27,0.09
2279,yuri (α╣æ╦â╠╡ß┤ù╦é╠╡),0.0,0.0,2.27,0.09
2280,Redguy,0.0,0.0,2.27,0.09
2281,Exzy,0.0,0.0,2.27,0.09
2282,yus.r,0.0,0.0,2.27,0.09
2283,Fahadhasan62,0.0,0.0,2.27,0.09
2284,Riri_Xt1,0.0,0.0,2.27,0.09
2285,Rivia ≡ƒûñ≡ƒÉ║,0.0,0.0,2.27,0.09
2286,RobeelZahid,0.0,0.0,2.27,0.09
2287,PocoM3,0.0,0.0,2.27,0.09
2288,Poketo187,0.0,0.0,2.27,0.09
2289,Pororo,0.0,0.0,2.27,0.09
2290,PoshDeodorant,0.0,0.0,2.27,0.09
2291,Poxc,0.0,0.0,2.27,0.09
2292,PressedAk,0.0,0.0,2.27,0.09
2293,Robespier,0.0,0.0,2.27,0.09
2294,Fida337,0.0,0.0,2.27,0.09
2295,PrinxessSiew,0.0,0.0,2.27,0.09
2296,ysantd,0.0,0.0,2.27,0.09
2297,Fertamax,0.0,0.0,2.27,0.09
2298,zero<3,0.0,0.0,2.27,0.09
2299,Psycho1007,0.0,0.0,2.27,0.09
2300,Rizal,0.0,0.0,2.27,0.09
2301,PutraLancar4,0.0,0.0,2.27,0.09
2302,Qian,0.0,0.0,2.27,0.09
2303,Qr├╕w,0.0,0.0,2.27,0.09
2304,yuki,0.0,0.0,2.27,0.09
2305,Roarxpatel,0.0,0.0,2.27,0.09
2306,zam,0.0,0.0,2.27,0.09
2307,RkAkash,0.0,0.0,2.27,0.09
2308,Fauzan,0.0,0.0,2.27,0.09
2309,FalseKing,0.0,0.0,2.27,0.09
2310,Faisal55,0.0,0.0,2.27,0.09
2311,RAJUReDDY,0.0,0.0,2.27,0.09
2312,RizalBee,0.0,0.0,2.27,0.09
2313,Nayef,0.0,0.0,2.27,0.09
2314,Salman,0.0,0.0,2.27,0.09
2315,MOKAMBO,0.0,0.0,2.27,0.09
2316,Grand Wizard,0.0,0.0,2.27,0.09
2317,∩╣òz≡¥û╛α╣Å╓éΓù₧ Γéè,0.0,0.0,2.27,0.09
2318,ELARSEN,0.0,0.0,2.27,0.09
2319,Mas Pablo Cikaso,0.0,0.0,2.27,0.09
2320,Masgon,0.0,0.0,2.27,0.09
2321,Snoodlez,0.0,0.0,2.27,0.09
2322,woolfman2442,0.0,0.0,2.27,0.09
2323,Mass,0.0,0.0,2.27,0.09
2324,Slut4kermit,0.0,0.0,2.27,0.09
2325,Slowmosniperz,0.0,0.0,2.27,0.09
2326,Maxime/Toz,0.0,0.0,2.27,0.09
2327,A s h e r i n g S,0.0,0.0,2.27,0.09
2328,' Sam,0.0,0.0,2.27,0.09
2329,GregEgi,0.0,0.0,2.27,0.09
2330,EZZOOTTT,0.0,0.0,2.27,0.09
2331,Md Mohsin khan,0.0,0.0,2.27,0.09
2332,Md Sohel Rana,0.0,0.0,2.27,0.09
2333,xia!,0.0,0.0,2.27,0.09
2334,Md.Sohan,0.0,0.0,2.27,0.09
2335,Razorxbliss,0.0,0.0,2.27,0.09
2336,Skilled,0.0,0.0,2.27,0.09
2337,Mdimtiaj,0.0,0.0,2.27,0.09
2338,MeT,0.0,0.0,2.27,0.09
2339,Eh Sorry Ya Ges,0.0,0.0,2.27,0.09
2340,>math,0.0,0.0,2.27,0.09
2341,Eisha,0.0,0.0,2.27,0.09
2342,Sion,0.0,0.0,2.27,0.09
2343,SintaRandina,0.0,0.0,2.27,0.09
2344,Sofiya,0.0,0.0,2.27,0.09
2345,MartinSedayu,0.0,0.0,2.27,0.09
2346,Sohann.,0.0,0.0,2.27,0.09
2347,Mami,0.0,0.0,2.27,0.09
2348,whiteff,0.0,0.0,2.27,0.09
2349,MP,0.0,0.0,2.27,0.09
2350,Dwifal,0.0,0.0,2.27,0.09
2351,Steamydr0p,0.0,0.0,2.27,0.09
2352,StarBoy,0.0,0.0,2.27,0.09
2353,Guz,0.0,0.0,2.27,0.09
2354,Maharish,0.0,0.0,2.27,0.09
2355,≡¥É╢≡¥æª≡¥æÄ≡¥æ¢ΓÖí,0.0,0.0,2.27,0.09
2356,≡¥É┐≡¥Æ╛≡¥Æ╢ ≡ƒî╝,0.0,0.0,2.27,0.09
2357,Gurunath,0.0,0.0,2.27,0.09
2358,MaltiPal,0.0,0.0,2.27,0.09
2359,Spikey,0.0,0.0,2.27,0.09
2360,≡¥Éï≡¥É«≡¥É£≡¥Éñ≡¥É▓≡¥Éæ≡¥É₧≡¥É¥,0.0,0.0,2.27,0.09
2361,Sojib99,0.0,0.0,2.27,0.09
2362,MantuyNiPak,0.0,0.0,2.27,0.09
2363,SpeedTheKids,0.0,0.0,2.27,0.09
2364,MarbleParker Shelby,0.0,0.0,2.27,0.09
2365,Soupy,0.0,0.0,2.27,0.09
2366,Soumyadip,0.0,0.0,2.27,0.09
2367,Dyy,0.0,0.0,2.27,0.09
2368,MarcosTeixeira,0.0,0.0,2.27,0.09
2369,wily,0.0,0.0,2.27,0.09
2370,SonuDB,0.0,0.0,2.27,0.09
2371,≡¥Éë≡¥ÉÜ.ΓÖÜ,0.0,0.0,2.27,0.09
2372,Sonder,0.0,0.0,2.27,0.09
2373,Grizzlee,0.0,0.0,2.27,0.09
2374,Singergst,0.0,0.0,2.27,0.09
2375,Ekk | owner,0.0,0.0,2.27,0.09
2376,Nasir,0.0,0.0,2.27,0.09
2377,Merlyn,0.0,0.0,2.27,0.09
2378,α╕¡α╕¬α╕úα╕₧α╕╡α╕ù,0.0,0.0,2.27,0.09
2379,Selim Basaksehir,0.0,0.0,2.27,0.09
2380,El├¡as,0.0,0.0,2.27,0.09
2381,Ω▓¿∞Ü╕,0.0,0.0,2.27,0.09
2382,MrKettavan,0.0,0.0,2.27,0.09
2383,School Captain,0.0,0.0,2.27,0.09
2384,Sayankku,0.0,0.0,2.27,0.09
2385,Mukti Zoddha,0.0,0.0,2.27,0.09
2386,Munir,0.0,0.0,2.27,0.09
2387,Murt2,0.0,0.0,2.27,0.09
2388,Must,0.0,0.0,2.27,0.09
2389,Mysticator,0.0,0.0,2.27,0.09
2390,MyurZ,0.0,0.0,2.27,0.09
2391,Sari12,0.0,0.0,2.27,0.09
2392,Gaurav0322,0.0,0.0,2.27,0.09
2393,02stx_err,0.0,0.0,2.27,0.09
2394,Gary,0.0,0.0,2.27,0.09
2395,Santosh007,0.0,0.0,2.27,0.09
2396,Naillzool,0.0,0.0,2.27,0.09
2397,Emonali,0.0,0.0,2.27,0.09
2398,Sans°,0.0,0.0,2.27,0.09
2399,Nandaw,0.0,0.0,2.27,0.09
2400,yeasin9002,0.0,0.0,2.27,0.09
2401,Sankar,0.0,0.0,2.27,0.09
2402,Sanjay,0.0,0.0,2.27,0.09
2403,NashiraNH,0.0,0.0,2.27,0.09
2404,Sandeep Kumar,0.0,0.0,2.27,0.09
2405,Senadin,0.0,0.0,2.27,0.09
2406,.ΓäÆΓä»Γä┤,0.0,0.0,2.27,0.09
2407,Elviandi,0.0,0.0,2.27,0.09
2408,Shibsankar,0.0,0.0,2.27,0.09
2409,'hamza,0.0,0.0,2.27,0.09
2410,* Γ£»≡¥æ¿≡¥ÆÅ≡¥æ«≡¥Æå≡¥æ│Γ£»*,0.0,0.0,2.27,0.09
2411,*Channie,0.0,0.0,2.27,0.09
2412,Mil├⌐.,0.0,0.0,2.27,0.09
2413,Shishirkhandok4,0.0,0.0,2.27,0.09
2414,Shintya,0.0,0.0,2.27,0.09
2415,Minh To├án,0.0,0.0,2.27,0.09
2416,Minhaz,0.0,0.0,2.27,0.09
2417,Minkhant,0.0,0.0,2.27,0.09
2418,Miraz,0.0,0.0,2.27,0.09
2419,Shifu,0.0,0.0,2.27,0.09
2420,Gitarisnyawii,0.0,0.0,2.27,0.09
2421,Moni,0.0,0.0,2.27,0.09
2422,Mpol,0.0,0.0,2.27,0.09
2423,yahikoakari,0.0,0.0,2.27,0.09
2424,ElonMas,0.0,0.0,2.27,0.09
2425,Shakil,0.0,0.0,2.27,0.09
2426,Moni Akter,0.0,0.0,2.27,0.09
2427,Shahadat,0.0,0.0,2.27,0.09
2428,MonsurAbdullah,0.0,0.0,2.27,0.09
2429,Shadeye,0.0,0.0,2.27,0.09
2430,Sha00700712,0.0,0.0,2.27,0.09
2431,Mostakim06,0.0,0.0,2.27,0.09
2432,Server Pablito Yt,0.0,0.0,2.27,0.09
2433,Serenityy,0.0,0.0,2.27,0.09
2434,πÇÄFBIπÇÅThaNoS,0.0,0.0,2.27,0.09
2435,Vaju,0.0,0.0,2.27,0.09
2436,oden,0.0,0.0,2.27,0.09
2437,cv,0.0,0.0,2.27,0.09
2438,karak,0.0,0.0,2.27,0.09
2439,kikok,0.0,0.0,2.27,0.09
2440,cerul,0.0,0.0,2.27,0.09
2441,ragoon,0.0,0.0,2.27,0.09
2442,sobuj,0.0,0.0,2.27,0.09
2443,rahmanazad48,0.0,0.0,2.27,0.09
2444,khaivan185,0.0,0.0,2.27,0.09
2445,Bendol,0.0,0.0,2.27,0.09
2446,chiyghost,0.0,0.0,2.27,0.09
2447,rahul kumar,0.0,0.0,2.27,0.09
2448,rahulrock,0.0,0.0,2.27,0.09
2449,chongphoshun,0.0,0.0,2.27,0.09
2450,Chain,0.0,0.0,2.27,0.09
2451,chrisna,0.0,0.0,2.27,0.09
2452,claudia!,0.0,0.0,2.27,0.09
2453,AisuKitsune,0.0,0.0,2.27,0.09
2454,kimiko,0.0,0.0,2.27,0.09
2455,catz/spa,0.0,0.0,2.27,0.09
2456,kinan,0.0,0.0,2.27,0.09
2457,knyl,0.0,0.0,2.27,0.09
2458,ChitMinn,0.0,0.0,2.27,0.09
2459,spiderman,0.0,0.0,2.27,0.09
2460,busaeri,0.0,0.0,2.27,0.09
2461,b╠╢═å╠ê3╠╡╠ê═Æ1╠╢╠Ä═ÿb╠┤╠Ü═ä≡¥ö╡,0.0,0.0,2.27,0.09
2462,c0rsetg0th,0.0,0.0,2.27,0.09
2463,cabbage,0.0,0.0,2.27,0.09
2464,klava230211,0.0,0.0,2.27,0.09
2465,sonivinit88,0.0,0.0,2.27,0.09
2466,kiron1200m,0.0,0.0,2.27,0.09
2467,Airdrop,0.0,0.0,2.27,0.09
2468,radikal,0.0,0.0,2.27,0.09
2469,soumentanni37,0.0,0.0,2.27,0.09
2470,sos42,0.0,0.0,2.27,0.09
2471,AirdropBooms,0.0,0.0,2.27,0.09
2472,kardovadnm,0.0,0.0,2.27,0.09
2473,skedebew15,0.0,0.0,2.27,0.09
2474,Beacon Global || Intazar (BG),0.0,0.0,2.27,0.09
2475,skarl902,0.0,0.0,2.27,0.09
2476,siddiq56,0.0,0.0,2.27,0.09
2477,rak45,0.0,0.0,2.27,0.09
2478,cryptomrz,0.0,0.0,2.27,0.09
2479,cryptopedia,0.0,0.0,2.27,0.09
2480,shuvronill,0.0,0.0,2.27,0.09
2481,julang,0.0,0.0,2.27,0.09
2482,crzairdrop,0.0,0.0,2.27,0.09
2483,cuan,0.0,0.0,2.27,0.09
2484,curse,0.0,0.0,2.27,0.09
2485,rakrysan,0.0,0.0,2.27,0.09
2486,jpbang123,0.0,0.0,2.27,0.09
2487,shreejit,0.0,0.0,2.27,0.09
2488,cyg,0.0,0.0,2.27,0.09
2489,ramasp1325,0.0,0.0,2.27,0.09
2490,Billah521,0.0,0.0,2.27,0.09
2491,signalexpress,0.0,0.0,2.27,0.09
2492,cryptoadd2,0.0,0.0,2.27,0.09
2493,rajfas,0.0,0.0,2.27,0.09
2494,sincos,0.0,0.0,2.27,0.09
2495,conrad,0.0,0.0,2.27,0.09
2496,convict,0.0,0.0,2.27,0.09
2497,kangtosi,0.0,0.0,2.27,0.09
2498,sirilo careca,0.0,0.0,2.27,0.09
2499,kakon420,0.0,0.0,2.27,0.09
2500,kak_ashi,0.0,0.0,2.27,0.09
2501,crestfallenstoic,0.0,0.0,2.27,0.09
2502,rajavai,0.0,0.0,2.27,0.09
2503,sinagaf53,0.0,0.0,2.27,0.09
2504,criptopajju16,0.0,0.0,2.27,0.09
2505,AkaTrelly,0.0,0.0,2.27,0.09
2506,kail !,0.0,0.0,2.27,0.09
2507,kadalGF,0.0,0.0,2.27,0.09
2508,Berserk,0.0,0.0,2.27,0.09
2509,koldexx,0.0,0.0,2.27,0.09
2510,Chobby,0.0,0.0,2.27,0.09
2511,pram77,0.0,0.0,2.27,0.09
2512,lifemelon,0.0,0.0,2.27,0.09
2513,superoksit,0.0,0.0,2.27,0.09
2514,sunni,0.0,0.0,2.27,0.09
2515,bangbung,0.0,0.0,2.27,0.09
2516,bangkitt18,0.0,0.0,2.27,0.09
2517,barszczak,0.0,0.0,2.27,0.09
2518,summer <3,0.0,0.0,2.27,0.09
2519,puluh,0.0,0.0,2.27,0.09
2520,pushinP,0.0,0.0,2.27,0.09
2521,summan,0.0,0.0,2.27,0.09
2522,liv ≡ƒ¬É,0.0,0.0,2.27,0.09
2523,Clementine,0.0,0.0,2.27,0.09
2524,lisalisa,0.0,0.0,2.27,0.09
2525,linput011,0.0,0.0,2.27,0.09
2526,begula,0.0,0.0,2.27,0.09
2527,bent0,0.0,0.0,2.27,0.09
2528,balayet,0.0,0.0,2.27,0.09
2529,lohekun,0.0,0.0,2.27,0.09
2530,BabluAnsari80,0.0,0.0,2.27,0.09
2531,axololz,0.0,0.0,2.27,0.09
2532,auretila,0.0,0.0,2.27,0.09
2533,ava carim,0.0,0.0,2.27,0.09
2534,suvajitdey1,0.0,0.0,2.27,0.09
2535,lowkey,0.0,0.0,2.27,0.09
2536,suryaakntl,0.0,0.0,2.27,0.09
2537,proloy,0.0,0.0,2.27,0.09
2538,ayamgeprek,0.0,0.0,2.27,0.09
2539,bagus,0.0,0.0,2.27,0.09
2540,ayamsaya,0.0,0.0,2.27,0.09
2541,azmΓÖá,0.0,0.0,2.27,0.09
2542,baberdanikk,0.0,0.0,2.27,0.09
2543,supply chain money,0.0,0.0,2.27,0.09
2544,longvu445,0.0,0.0,2.27,0.09
2545,bafe,0.0,0.0,2.27,0.09
2546,rubyy,0.0,0.0,2.27,0.09
2547,bheyz69,0.0,0.0,2.27,0.09
2548,bryyclo,0.0,0.0,2.27,0.09
2549,lica boos,0.0,0.0,2.27,0.09
2550,Bath,0.0,0.0,2.27,0.09
2551,kristjan123ret,0.0,0.0,2.27,0.09
2552,kristie,0.0,0.0,2.27,0.09
2553,Ahnafbd39,0.0,0.0,2.27,0.09
2554,bossplay,0.0,0.0,2.27,0.09
2555,botplayer101,0.0,0.0,2.27,0.09
2556,srao,0.0,0.0,2.27,0.09
2557,krisforex,0.0,0.0,2.27,0.09
2558,bouskyyy,0.0,0.0,2.27,0.09
2559,boyraka,0.0,0.0,2.27,0.09
2560,Bayojid Hossain,0.0,0.0,2.27,0.09
2561,koushik1996,0.0,0.0,2.27,0.09
2562,koukii,0.0,0.0,2.27,0.09
2563,koshal05,0.0,0.0,2.27,0.09
2564,brgrckr,0.0,0.0,2.27,0.09
2565,bokul,0.0,0.0,2.27,0.09
2566,starness,0.0,0.0,2.27,0.09
2567,bobmusky,0.0,0.0,2.27,0.09
2568,quan,0.0,0.0,2.27,0.09
2569,left nut,0.0,0.0,2.27,0.09
2570,biku,0.0,0.0,2.27,0.09
2571,leah.png,0.0,0.0,2.27,0.09
2572,bilan,0.0,0.0,2.27,0.09
2573,subahan66,0.0,0.0,2.27,0.09
2574,qti,0.0,0.0,2.27,0.09
2575,blackout,0.0,0.0,2.27,0.09
2576,stellarlumensx,0.0,0.0,2.27,0.09
2577,laludenny29,0.0,0.0,2.27,0.09
2578,quangduvi899,0.0,0.0,2.27,0.09
2579,Ahmad89409377,0.0,0.0,2.27,0.09
2580,Ahmadkopeah,0.0,0.0,2.27,0.09
2581,qweeq,0.0,0.0,2.27,0.09
2582,kumokumo,0.0,0.0,2.27,0.09
2583,johanarif29,0.0,0.0,2.27,0.09
2584,joesnowafc,0.0,0.0,2.27,0.09
2585,dadan,0.0,0.0,2.27,0.09
2586,haunted,0.0,0.0,2.27,0.09
2587,rikathorn,0.0,0.0,2.27,0.09
2588,etsrzon,0.0,0.0,2.27,0.09
2589,hosea,0.0,0.0,2.27,0.09
2590,holyflash,0.0,0.0,2.27,0.09
2591,hokkypen,0.0,0.0,2.27,0.09
2592,hoanganh88,0.0,0.0,2.27,0.09
2593,riskijavier,0.0,0.0,2.27,0.09
2594,saimoon,0.0,0.0,2.27,0.09
2595,ezaaaja,0.0,0.0,2.27,0.09
2596,hengky,0.0,0.0,2.27,0.09
2597,rizki,0.0,0.0,2.27,0.09
2598,febri,0.0,0.0,2.27,0.09
2599,fenak091,0.0,0.0,2.27,0.09
2600,Born├⌐e,0.0,0.0,2.27,0.09
2601,hdk77,0.0,0.0,2.27,0.09
2602,samal,0.0,0.0,2.27,0.09
2603,erfan123,0.0,0.0,2.27,0.09
2604,samsapiol,0.0,0.0,2.27,0.09
2605,B─½ngq├¡l├¡n,0.0,0.0,2.27,0.09
2606,BobSmok69,0.0,0.0,2.27,0.09
2607,ekram4444,0.0,0.0,2.27,0.09
2608,sarkar,0.0,0.0,2.27,0.09
2609,elfatan,0.0,0.0,2.27,0.09
2610,elie Γÿ╛ Γ¥Ç,0.0,0.0,2.27,0.09
2611,richiebuka,0.0,0.0,2.27,0.09
2612,huyquangdo22,0.0,0.0,2.27,0.09
2613,sanjil,0.0,0.0,2.27,0.09
2614,emanuelito,0.0,0.0,2.27,0.09
2615,hunterairdrop98,0.0,0.0,2.27,0.09
2616,hungpv29,0.0,0.0,2.27,0.09
2617,emowy,0.0,0.0,2.27,0.09
2618,hunghatxxx,0.0,0.0,2.27,0.09
2619,emz,0.0,0.0,2.27,0.09
2620,Alfa Khasbi,0.0,0.0,2.27,0.09
2621,hatred,0.0,0.0,2.27,0.09
2622,dafagans55,0.0,0.0,2.27,0.09
2623,safinansar,0.0,0.0,2.27,0.09
2624,ryzthon,0.0,0.0,2.27,0.09
2625,grub,0.0,0.0,2.27,0.09
2626,grommit,0.0,0.0,2.27,0.09
2627,gamingcripto,0.0,0.0,2.27,0.09
2628,gansvea,0.0,0.0,2.27,0.09
2629,rosebud,0.0,0.0,2.27,0.09
2630,rositsa,0.0,0.0,2.27,0.09
2631,gomin,0.0,0.0,2.27,0.09
2632,golu,0.0,0.0,2.27,0.09
2633,geeru,0.0,0.0,2.27,0.09
2634,BrainDead,0.0,0.0,2.27,0.09
2635,gokill,0.0,0.0,2.27,0.09
2636,gograk,0.0,0.0,2.27,0.09
2637,ruleryell,0.0,0.0,2.27,0.09
2638,ghazy,0.0,0.0,2.27,0.09
2639,grxpe.,0.0,0.0,2.27,0.09
2640,sa.,0.0,0.0,2.27,0.09
2641,ronn,0.0,0.0,2.27,0.09
2642,hamood,0.0,0.0,2.27,0.09
2643,BtrRijeng,0.0,0.0,2.27,0.09
2644,floki,0.0,0.0,2.27,0.09
2645,foridulislam83,0.0,0.0,2.27,0.09
2646,hasan11,0.0,0.0,2.27,0.09
2647,hanama,0.0,0.0,2.27,0.09
2648,sadi,0.0,0.0,2.27,0.09
2649,halim3011,0.0,0.0,2.27,0.09
2650,g o d z i l l a,0.0,0.0,2.27,0.09
2651,friyon,0.0,0.0,2.27,0.09
2652,sabuj,0.0,0.0,2.27,0.09
2653,haisa,0.0,0.0,2.27,0.09
2654,sabbir1852,0.0,0.0,2.27,0.09
2655,rodebleh,0.0,0.0,2.27,0.09
2656,fumiko,0.0,0.0,2.27,0.09
2657,riadul54,0.0,0.0,2.27,0.09
2658,Alzabal,0.0,0.0,2.27,0.09
2659,ihearthim,0.0,0.0,2.27,0.09
2660,ihzaafdian,0.0,0.0,2.27,0.09
2661,jj.,0.0,0.0,2.27,0.09
2662,Billie Iblies,0.0,0.0,2.27,0.09
2663,dedy20,0.0,0.0,2.27,0.09
2664,shaktiarya,0.0,0.0,2.27,0.09
2665,jilanijh02,0.0,0.0,2.27,0.09
2666,shakil550,0.0,0.0,2.27,0.09
2667,jetushe,0.0,0.0,2.27,0.09
2668,rayenchain,0.0,0.0,2.27,0.09
2669,jeffreyz,0.0,0.0,2.27,0.09
2670,shadowgaming12,0.0,0.0,2.27,0.09
2671,shadid111,0.0,0.0,2.27,0.09
2672,dery21,0.0,0.0,2.27,0.09
2673,rayhan11,0.0,0.0,2.27,0.09
2674,Birju sharma,0.0,0.0,2.27,0.09
2675,rbersari,0.0,0.0,2.27,0.09
2676,dede*,0.0,0.0,2.27,0.09
2677,debs,0.0,0.0,2.27,0.09
2678,shariar,0.0,0.0,2.27,0.09
2679,joanna,0.0,0.0,2.27,0.09
2680,daffavivian,0.0,0.0,2.27,0.09
2681,dairobert192,0.0,0.0,2.27,0.09
2682,Cale,0.0,0.0,2.27,0.09
2683,danocha,0.0,0.0,2.27,0.09
2684,danuandito,0.0,0.0,2.27,0.09
2685,ranima101,0.0,0.0,2.27,0.09
2686,dar,0.0,0.0,2.27,0.09
2687,ratnawir44,0.0,0.0,2.27,0.09
2688,Calcifer,0.0,0.0,2.27,0.09
2689,ranjanachavan,0.0,0.0,2.27,0.09
2690,Alank,0.0,0.0,2.27,0.09
2691,dartodaryono,0.0,0.0,2.27,0.09
2692,davmmk,0.0,0.0,2.27,0.09
2693,dawsan,0.0,0.0,2.27,0.09
2694,sexycusM,0.0,0.0,2.27,0.09
2695,dhanpat02,0.0,0.0,2.27,0.09
2696,dhax007,0.0,0.0,2.27,0.09
2697,duytran113,0.0,0.0,2.27,0.09
2698,ion_cy,0.0,0.0,2.27,0.09
2699,satyendrawrx,0.0,0.0,2.27,0.09
2700,ducnguyen45w,0.0,0.0,2.27,0.09
2701,dungdung,0.0,0.0,2.27,0.09
2702,duocterezi9,0.0,0.0,2.27,0.09
2703,imztitus,0.0,0.0,2.27,0.09
2704,imralegion,0.0,0.0,2.27,0.09
2705,iqbal,0.0,0.0,2.27,0.09
2706,immevv,0.0,0.0,2.27,0.09
2707,ily,0.0,0.0,2.27,0.09
2708,dzve,0.0,0.0,2.27,0.09
2709,Bluue,0.0,0.0,2.27,0.09
2710,ikon?,0.0,0.0,2.27,0.09
2711,Alex_Croc,0.0,0.0,2.27,0.09
2712,dotlink,0.0,0.0,2.27,0.09
2713,doszdozs,0.0,0.0,2.27,0.09
2714,dhim,0.0,0.0,2.27,0.09
2715,jaishreebabosa1,0.0,0.0,2.27,0.09
2716,dickyimam,0.0,0.0,2.27,0.09
2717,japinha,0.0,0.0,2.27,0.09
2718,selcslovcr,0.0,0.0,2.27,0.09
2719,BlaccShyGuy,0.0,0.0,2.27,0.09
2720,jamaludin,0.0,0.0,2.27,0.09
2721,jakaria,0.0,0.0,2.27,0.09
2722,jahkem,0.0,0.0,2.27,0.09
2723,itsmebaji,0.0,0.0,2.27,0.09
2724,refulk_zero,0.0,0.0,2.27,0.09
2725,AlexAirdrop,0.0,0.0,2.27,0.09
2726,jacobp,0.0,0.0,2.27,0.09
2727,jackal0pe,0.0,0.0,2.27,0.09
2728,seanwrds,0.0,0.0,2.27,0.09
2729,rendy,0.0,0.0,2.27,0.09
2730,luanpham98,0.0,0.0,2.27,0.09
2731,linhdubeau18,0.0,0.0,2.27,0.09
