,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
446,Bluesy_92,0.0,0.36,4.09,0.19
447,the_expanse,0.0,0.0,0.39,0.2
448,Classicmayonaise,0.0,0.38,5.88,0.14
449,sorcererbg,0.0,0.33,2.21,0.19
450,Jesoni,0.0,0.0,0.37,0.14
451,Captain Bellamy,0.0,0.0,2.26,0.12
452,2bunn,0.0,0.0,0.36,0.11
453,robert7qs,0.0,0.08,5.63,0.17
454,JWJW,0.0,0.0,1.66,0.24
455,wessiah_,0.0,0.1,47.54,0.09
456,Krunal Amin｜UniDex,0.0,0.11,6.98,0.15
457,Mars Robertson 🔮 BaseX.com,0.0,0.0,0.39,0.24
458,Hephyrius,0.0,0.0,0.75,0.17
459,jason灬,0.0,0.0,6.06,0.15
460,BlockchainMatt,0.0,0.0,0.8,0.09
461,Matteus,0.0,0.0,5.23,0.2
462,sabs,0.0,0.0,0.38,0.15
463,Byron,0.0,0.0,0.37,0.19
464,willisbucklander | MBC,0.0,0.0,1.06,0.16
465,juliexiaoxiao,0.0,0.0,0.36,0.14
466,Sarath,0.0,0.0,0.38,0.13
467,DEGENFT,0.0,0.3,12.18,0.11
468,klarna.loopring.eth,0.0,0.0,5.83,0.09
469,HelloMG,0.0,0.14,5.15,0.21
470,SpeedyGonzales,0.0,0.0,22.11,0.11
471,Gjbauzon,0.0,0.0,0.76,0.11
472,Reinbo,0.0,0.0,0.91,0.18
473,Baby Boba🧋,0.0,0.0,0.32,0.07
474,SHA009,0.0,0.0,0.4,0.2
475,yongsaltedegg,0.0,0.0,1.1,0.09
476,mwils,0.0,0.0,0.75,0.13
477,Pereiras | YMH,0.0,0.0,0.38,0.07
478,Tch4ng,0.0,0.0,0.33,0.07
479,水耕香菜 Kana,0.0,0.0,0.34,0.07
480,OK,0.0,0.0,0.71,0.12
481,nomatch,0.0,0.0,1.45,0.12
482,silto,0.0,0.27,4.12,0.21
483,roadx,0.0,0.0,0.37,0.13
484,HanMinKyaw,0.0,0.0,5.88,0.09
485,AlienRico,0.0,0.0,0.38,0.09
486,mr8559,0.0,0.33,0.96,0.11
487,Ge3Ly,0.0,0.0,2.28,0.1
488,niko40,0.0,0.0,2.39,0.13
489,pinko,0.0,0.0,0.38,0.13
490,laserbach,0.0,0.0,0.77,0.17
491,bizar69,0.0,0.0,0.38,0.09
492,Mark Dalton,0.0,0.0,0.41,0.22
493,perica92,0.0,0.0,0.46,0.21
494,cryptochui,0.0,0.0,1.55,0.16
495,Majek Fashek,0.0,0.04,60.17,0.09
496,Derju,0.0,0.0,0.76,0.17
497,twarelane,0.0,0.18,6.72,0.13
498,H______,0.0,0.0,0.75,0.15
499,playback999,0.0,0.0,0.4,0.13
500,Gosty,0.0,0.0,0.38,0.09
